FECHA,ASIGNACION_CONTRATO,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
01/01/2016,A-0027,Terrestre,Cuencas del Sureste,2P,2.932389,2.326513,2.27605,0,0.235776,1.924864
01/01/2016,A-0027,Terrestre,Cuencas del Sureste,3P,8.432961,2.736829,21.398232,0,2.216645,18.09657
01/01/2016,A-0029,Terrestre,Cuencas del Sureste,1P,9.837004,7.824248,8.41273,0.000111,0.76358,6.496305
01/01/2016,A-0029,Terrestre,Cuencas del Sureste,2P,9.837004,7.824248,8.41273,0.000111,0.76358,6.496305
01/01/2016,A-0029,Terrestre,Cuencas del Sureste,3P,9.837004,7.824248,8.41273,0.000111,0.76358,6.496305
01/01/2016,A-0031,Aguas someras,Tampico-Misantla,1P,1.856149,1.240869,11.507273,0,0.107057,2.643231
01/01/2016,A-0031,Aguas someras,Tampico-Misantla,2P,3.432341,2.319629,20.810498,0,0.193609,4.78019
01/01/2016,A-0031,Aguas someras,Tampico-Misantla,3P,5.136654,3.486076,30.869938,0,0.287196,7.090852
01/01/2016,A-0032,Aguas someras,Cuencas del Sureste,1P,315.273068,307.64867,35.871835,0.502916,2.313275,25.007149
01/01/2016,A-0032,Aguas someras,Cuencas del Sureste,2P,567.698199,553.969284,64.592819,0.905579,4.165412,45.029261
01/01/2016,A-0032,Aguas someras,Cuencas del Sureste,3P,592.385482,578.059543,67.401743,0.94496,4.346552,46.987432
01/01/2016,A-0033,Aguas someras,Cuencas del Sureste,1P,38.764039,36.739683,10.830158,0,0.708787,6.842182
01/01/2016,A-0033,Aguas someras,Cuencas del Sureste,2P,96.470544,91.432503,26.953159,0,1.763967,17.02823
01/01/2016,A-0033,Aguas someras,Cuencas del Sureste,3P,217.629173,206.474387,59.677309,0,3.90562,37.702406
01/01/2016,A-0034,Terrestre,Cuencas del Sureste,1P,15.651732,12.704384,11.072081,0,1.146958,9.363703
01/01/2016,A-0034,Terrestre,Cuencas del Sureste,2P,28.142537,22.653292,20.621035,0,2.136135,17.439292
01/01/2016,A-0034,Terrestre,Cuencas del Sureste,3P,39.522947,31.792958,29.038668,0,3.008118,24.558118
01/01/2016,A-0035,Aguas someras,Cuencas del Sureste,1P,16.515947,15.565033,4.509737,0.071091,0.285793,3.089507
01/01/2016,A-0035,Aguas someras,Cuencas del Sureste,2P,65.452563,61.054645,20.857253,0.328791,1.321776,14.288776
01/01/2016,A-0035,Aguas someras,Cuencas del Sureste,3P,81.290415,75.982054,25.175054,0.396856,1.595406,17.246792
01/01/2016,A-0036,Terrestre,Cuencas del Sureste,1P,2.975911,2.060451,4.496945,0,0.35625,2.908408
01/01/2016,A-0036,Terrestre,Cuencas del Sureste,2P,3.228786,2.274059,4.689833,0,0.371531,3.033159
01/01/2016,A-0036,Terrestre,Cuencas del Sureste,3P,3.228786,2.274059,4.689833,0,0.371531,3.033159
01/01/2016,A-0037,Aguas someras,Tampico-Misantla,1P,3.869096,3.495076,7.812338,0,0.065079,1.606784
01/01/2016,A-0037,Aguas someras,Tampico-Misantla,2P,8.098969,7.317561,16.321639,0,0.135964,3.356914
01/01/2016,A-0037,Aguas someras,Tampico-Misantla,3P,8.098969,7.317561,16.321639,0,0.135964,3.356914
01/01/2016,A-0039,Aguas someras,Cuencas del Sureste,1P,96.154645,91.129866,26.064506,0.443902,1.488009,16.085791
01/01/2016,A-0039,Aguas someras,Cuencas del Sureste,2P,337.693909,319.863,92.492391,1.575229,5.280342,57.081967
01/01/2016,A-0039,Aguas someras,Cuencas del Sureste,3P,337.693909,319.863,92.492391,1.575229,5.280342,57.081967
01/01/2016,A-0040,Terrestre,Veracruz,1P,0.142056,0,0.767375,0,0,0.738822
